EXPECEDU_BACHELORS,Growth_str_agree,Growth_agree,Growth_disagree,LANG_of_test,Grade_9,Grade_10,Female,CNTSTUID,BELONG,BULLIED,ESCS,FAMSUP
0.0,0.0,1,0.0,1.0,0,0,0.0,84000330,2.7562,-1.228,0.3609,1.0853
1.0,0.0,1,0.0,1.0,0,1,1.0,84000334,0.5453,-1.228,-0.1999,1.5622
,0.0,1,0.0,1.0,0,0,1.0,84000336,0.3946,-0.267,0.9934,0.0382
0.0,0.0,1,0.0,0.0,0,1,0.0,84000337,,0.4139,-0.7458,0.3909
,0.0,0,0.0,1.0,0,0,1.0,84000339,,,0.9678,
0.0,0.0,1,0.0,1.0,0,1,1.0,84000342,-1.0968,1.492,1.3879,-0.7622
,0.0,0,1.0,1.0,0,1,0.0,84000343,2.2967,-1.228,-0.524,0.0129
,0.0,0,0.0,1.0,0,1,0.0,84000346,-0.2482,-1.228,0.6374,1.8724
1.0,0.0,0,1.0,1.0,0,0,0.0,84000347,-1.0065,0.2988,0.4078,-0.8011
,0.0,0,0.0,0.0,0,1,1.0,84000350,-0.3128,-0.1325,-1.2124,0.254
1.0,0.0,0,1.0,1.0,0,1,1.0,84000352,-0.3261,0.2289,1.7499,-0.2026
1.0,0.0,0,0.0,1.0,0,1,0.0,84000354,-0.2482,-0.1325,0.3308,0.2561
0.0,0.0,0,1.0,1.0,0,1,0.0,84000356,-0.6048,-0.1325,-0.2568,0.5606
1.0,0.0,1,0.0,0.0,1,0,1.0,84000360,-0.5938,-0.4588,0.0204,0.4341
0.0,0.0,0,0.0,1.0,0,1,0.0,84000362,-0.338,-1.228,-0.4362,-0.0342
,0.0,0,1.0,1.0,0,1,0.0,84000363,2.7308,-1.228,1.2022,-0.0713
,0.0,0,0.0,0.0,0,0,1.0,84000366,,,-2.2086,
0.0,0.0,1,0.0,1.0,0,1,1.0,84000368,-0.0221,0.8141,0.8393,-0.5623
,0.0,0,1.0,0.0,0,0,0.0,84000370,-0.9024,1.4747,-1.7925,-2.6349
1.0,0.0,0,1.0,1.0,0,0,1.0,84000372,-0.338,-1.228,0.5286,0.2091
,0.0,0,1.0,0.0,0,1,0.0,84000374,1.3012,-1.228,0.7956,0.4431
1.0,1.0,0,0.0,1.0,0,1,1.0,84000376,0.5159,-1.228,0.0066,0.069
0.0,0.0,1,0.0,1.0,0,0,0.0,84000380,-0.6148,-1.228,0.5252,-0.7131
,1.0,0,0.0,1.0,0,1,1.0,84000381,-0.3397,-1.228,1.1279,1.6175
,0.0,0,1.0,1.0,0,1,0.0,84000383,0.7356,-1.228,1.415,0.5135
1.0,0.0,1,0.0,0.0,0,1,1.0,84000384,-0.6659,-1.228,1.0566,-0.427
0.0,0.0,0,1.0,1.0,0,0,0.0,84000388,-0.2482,-1.228,-0.466,-0.9689
1.0,0.0,1,0.0,1.0,1,0,1.0,84000390,-1.0812,1.2098,-1.3697,0.1547
1.0,0.0,0,1.0,1.0,1,0,1.0,84000392,-0.6508,-1.0523,-1.2803,-0.0279
,0.0,0,1.0,1.0,0,1,1.0,84000393,-1.3854,0.3952,0.6624,-0.0038
1.0,0.0,0,1.0,1.0,0,0,1.0,84000394,-1.2166,0.2988,1.2343,0.3197
,0.0,0,1.0,1.0,0,1,1.0,84000395,-1.1112,0.5222,-0.3958,-0.6768
,0.0,0,1.0,1.0,0,1,1.0,84000396,-0.3261,-1.228,0.422,-0.3577
0.0,0.0,0,1.0,1.0,0,1,0.0,84000397,-0.3732,-1.228,-0.553,0.0772
1.0,1.0,0,0.0,0.0,0,1,0.0,84000398,-0.3397,-1.228,-1.306,1.6889
1.0,0.0,1,0.0,1.0,0,1,1.0,84000399,-0.338,2.6754,1.2807,0.0086
,,0,,,0,1,1.0,84000400,,,,
1.0,1.0,0,0.0,1.0,1,0,0.0,84000402,0.1558,0.9968,-0.3785,-0.7317
,0.0,0,0.0,0.0,0,1,1.0,84000404,,,-0.5979,
,0.0,0,0.0,0.0,0,1,1.0,84000405,-0.3933,-0.267,-1.578,
,0.0,0,1.0,0.0,0,1,1.0,84000406,0.8452,-1.228,-0.5258,
,0.0,1,0.0,1.0,0,1,0.0,84000408,-0.4814,-1.228,1.2704,1.6125
,0.0,0,0.0,1.0,0,1,0.0,84000409,0.7356,-1.228,0.7155,1.1275
1.0,0.0,0,1.0,1.0,0,1,0.0,84000411,-3.2569,-1.228,1.4448,0.3851
,,0,,,0,0,0.0,84000412,,,,
1.0,,0,,0.0,0,1,0.0,84000414,-0.9111,1.0539,0.8622,-0.687
0.0,0.0,1,0.0,1.0,0,1,0.0,84000415,-0.3397,-1.228,1.0717,-0.0074
0.0,0.0,0,0.0,0.0,0,1,0.0,84000416,0.0422,0.379,-2.0132,-0.5323
0.0,0.0,1,0.0,0.0,0,0,1.0,84000420,0.2442,-1.228,-2.5179,0.9054
1.0,0.0,0,1.0,1.0,0,0,0.0,84000421,-1.3057,0.2121,-0.6046,-1.0953
1.0,1.0,0,0.0,1.0,0,0,0.0,84000422,-1.0545,0.0959,-1.8524,-0.6821
1.0,0.0,1,0.0,0.0,0,1,1.0,84000426,0.0422,-1.228,-0.1445,-0.9751
0.0,0.0,1,0.0,1.0,0,1,1.0,84000427,-0.7101,1.6322,-0.4278,-0.054
0.0,0.0,0,1.0,1.0,0,1,1.0,84000430,-0.9402,0.1924,-0.355,-0.1626
1.0,1.0,0,0.0,1.0,0,1,1.0,84000431,0.0712,0.2229,-2.1277,-0.4672
0.0,0.0,0,1.0,0.0,0,1,1.0,84000433,-0.4867,-1.228,-0.1038,0.3498
1.0,1.0,0,0.0,1.0,0,1,0.0,84000436,-0.9477,1.0981,0.8534,0.2056
1.0,0.0,1,0.0,1.0,0,1,1.0,84000437,-0.6508,-0.1879,0.7319,1.7442
1.0,0.0,0,1.0,1.0,0,1,1.0,84000438,-0.2482,0.2988,0.3524,0.8822
1.0,0.0,1,0.0,1.0,1,0,1.0,84000442,-0.3261,-0.4588,-0.7239,1.3432
,0.0,0,1.0,1.0,0,1,0.0,84000443,-0.338,-1.228,1.0218,1.6672
0.0,0.0,0,0.0,0.0,0,0,1.0,84000444,-0.0536,-1.228,0.2266,0.5571
,0.0,0,0.0,1.0,0,1,1.0,84000449,,,1.2311,
1.0,0.0,0,1.0,1.0,0,1,1.0,84000450,-0.4901,0.2988,-0.2796,-0.0319
0.0,0.0,0,0.0,0.0,1,0,0.0,84000452,-1.1962,0.6738,-2.0808,-0.5161
,0.0,0,0.0,1.0,0,1,0.0,84000453,,,-0.4745,
0.0,0.0,1,0.0,1.0,0,1,1.0,84000455,-0.7485,-0.267,-0.8174,0.0654
,0.0,0,1.0,1.0,1,0,0.0,84000456,-0.2482,-1.228,-0.4761,0.4981
,0.0,0,0.0,0.0,0,0,0.0,84000458,0.7356,-1.228,0.8859,1.6429
0.0,0.0,0,1.0,1.0,0,1,1.0,84000460,-1.1726,1.4081,0.8842,-0.7835
0.0,0.0,1,0.0,1.0,0,1,1.0,84000461,1.1471,-0.4588,-0.3148,1.0721
0.0,0.0,0,1.0,1.0,0,1,0.0,84000462,-0.47,-1.228,1.2011,-0.6136
,0.0,0,1.0,1.0,0,1,0.0,84000463,-0.3397,0.1361,0.1611,0.4429
1.0,0.0,0,1.0,1.0,0,0,1.0,84000467,-0.3261,0.1361,0.3026,-0.1014
1.0,0.0,0,0.0,1.0,0,1,1.0,84000472,0.4087,-0.267,0.9801,-0.024
,0.0,1,0.0,1.0,0,1,0.0,84000474,-0.8978,-1.228,-0.4699,-0.4148
1.0,0.0,1,0.0,1.0,1,0,1.0,84000478,-0.2461,-0.1325,-1.0074,-0.6068
1.0,0.0,0,1.0,1.0,0,1,0.0,84000479,-0.0148,-0.267,1.2165,0.1803
,0.0,1,0.0,1.0,0,1,1.0,84000480,-0.6098,-1.228,-2.2096,-0.3448
1.0,0.0,0,1.0,1.0,0,1,0.0,84000482,1.1314,-1.228,1.5239,-0.1714
1.0,0.0,0,1.0,1.0,0,1,1.0,84000484,-0.8221,0.1361,0.4165,-0.794
1.0,0.0,0,1.0,1.0,0,1,1.0,84000486,-0.9024,-1.228,-0.7071,0.3618
0.0,0.0,0,1.0,1.0,0,1,0.0,84000488,-0.9108,1.1599,-0.622,-0.6823
0.0,0.0,0,1.0,1.0,0,1,1.0,84000489,-0.338,-0.267,0.8665,-0.4904
0.0,0.0,0,1.0,1.0,0,1,1.0,84000491,0.3576,-0.391,0.2353,0.7803
0.0,0.0,0,1.0,1.0,0,1,0.0,84000492,-0.338,-1.228,0.3336,0.9769
1.0,0.0,0,0.0,0.0,0,1,0.0,84000494,0.3661,-1.228,0.5252,0.3346
,0.0,0,0.0,1.0,0,1,1.0,84000495,-0.3397,0.9364,1.444,0.5544
